modelo,chunk_size,chunk_overlap,mean_f1
miniLM-recursivo,500,0,0.30955472822650737
miniLM-recursivo,500,50,0.2988812613156202
miniLM-recursivo,500,100,0.2669030796109505
miniLM-recursivo,500,200,0.27323825938037916
miniLM-recursivo,750,0,0.24656497839349195
miniLM-recursivo,750,50,0.2316198020423915
miniLM-recursivo,750,100,0.24779669282572084
miniLM-recursivo,750,200,0.25753542702516496
miniLM-recursivo,1000,0,0.2803989962653931
miniLM-recursivo,1000,50,0.27892135668167684
miniLM-recursivo,1000,100,0.27677637402791266
miniLM-recursivo,1000,200,0.28261681388686033
miniLM-recursivo,1250,0,0.2799976881168488
miniLM-recursivo,1250,50,0.26561690148773426
miniLM-recursivo,1250,100,0.22527592780677422
miniLM-recursivo,1250,200,0.2726259932613895
miniLM-recursivo,1500,0,0.29196999888792013
miniLM-recursivo,1500,50,0.30482908549662097
miniLM-recursivo,1500,100,0.26672134333138786
miniLM-recursivo,1500,200,0.28742798772527794
mpnet-semantico,500,0,0.2379226747488019
mpnet-semantico,500,50,0.2621876070895268
mpnet-semantico,500,100,0.2700120866767152
mpnet-semantico,500,200,0.2541392677362211
mpnet-semantico,750,0,0.2247780209648223
mpnet-semantico,750,50,0.26297591386710095
mpnet-semantico,750,100,0.2775095017923859
mpnet-semantico,750,200,0.2526342922816658
mpnet-semantico,1000,0,0.23162849374677558
mpnet-semantico,1000,50,0.2613394776452808
mpnet-semantico,1000,100,0.27666008460084907
mpnet-semantico,1000,200,0.25239249343446735
mpnet-semantico,1250,0,0.23417923170640886
mpnet-semantico,1250,50,0.25690005421452783
mpnet-semantico,1250,100,0.2683305557878936
mpnet-semantico,1250,200,0.25023284657952233
mpnet-semantico,1500,0,0.23483405041017757
mpnet-semantico,1500,50,0.25896098092920683
mpnet-semantico,1500,100,0.2695839971935893
mpnet-semantico,1500,200,0.2543030679000212
